Gene.stable.ID,Gene.name
ENSMUSG00000105551,GM43199
ENSMUSG00000085937,CCDC42OS
ENSMUSG00000084330,GM15019
ENSMUSG00000075599,SMOK3A
ENSMUSG00000110484,GM45712
ENSMUSG00000106300,GM42765
ENSMUSG00000091705,H2-Q2
ENSMUSG00000111337,GM6885
ENSMUSG00000110914,GM48611
ENSMUSG00000103198,GM9136
ENSMUSG00000110747,GM35657
ENSMUSG00000102832,GM5190
ENSMUSG00000032020,UBASH3B
ENSMUSG00000027994,MCUB
ENSMUSG00000032293,IREB2
ENSMUSG00000104213,IGHD
ENSMUSG00000078689,MUP6
ENSMUSG00000051375,PCDH1
ENSMUSG00000079156,SMOK3B
ENSMUSG00000111039,GM47000
ENSMUSG00000112459,GM47689
ENSMUSG00000111218,GM46999
ENSMUSG00000112254,GM47690
ENSMUSG00000104268,GM37750
ENSMUSG00000021051,PPP2R5E
ENSMUSG00000101152,GM28305
ENSMUSG00000084796,MIR142HG
ENSMUSG00000032557,UBA5
ENSMUSG00000108257,GM44251
ENSMUSG00000109692,GM8575
ENSMUSG00000110648,GM38574
ENSMUSG00000083645,GM14086
ENSMUSG00000081043,GM11512
ENSMUSG00000004552,CTSE
ENSMUSG00000083268,GM11511
ENSMUSG00000094144,GM21312
ENSMUSG00000027219,SLC28A2
ENSMUSG00000085218,BB218582
ENSMUSG00000020546,STXBP4
ENSMUSG00000107085,GM42883
ENSMUSG00000116472,GM49421
ENSMUSG00000083226,GM7831
ENSMUSG00000034528,HSD17B13
ENSMUSG00000063568,JAZF1
ENSMUSG00000116325,GM46501
ENSMUSG00000004668,ABCA13
ENSMUSG00000090873,GM17112
ENSMUSG00000029711,EPO
ENSMUSG00000081500,GM15233
ENSMUSG00000097415,AU020206
ENSMUSG00000009907,VPS4B
ENSMUSG00000019461,PLSCR3
ENSMUSG00000116836,GM49727
ENSMUSG00000022972,CFAP298
ENSMUSG00000089983,2010320O07RIK
ENSMUSG00000028710,ATPAF1
ENSMUSG00000083147,OLFR1103-PS1
ENSMUSG00000029273,SULT1D1
ENSMUSG00000031662,SNX20
ENSMUSG00000073781,GM6471
ENSMUSG00000108952,GM39117
ENSMUSG00000042272,SESTD1
ENSMUSG00000081872,GM15572
ENSMUSG00000075166,OLFR1104
ENSMUSG00000080759,GM15573
ENSMUSG00000002625,AKAP8L
ENSMUSG00000104040,GM37563
ENSMUSG00000083902,GM15975
ENSMUSG00000038208,PGAP3
ENSMUSG00000075165,OLFR1105
ENSMUSG00000105186,GM43778
ENSMUSG00000032560,DNAJC13
ENSMUSG00000106335,GM20223
ENSMUSG00000106056,4930500L23RIK
ENSMUSG00000106237,GM8066
ENSMUSG00000085442,GM3362
ENSMUSG00000105851,9130604C24RIK
ENSMUSG00000022292,RRM2B
ENSMUSG00000075164,OLFR1106
ENSMUSG00000029713,GNB2
ENSMUSG00000044701,IL27
ENSMUSG00000087003,CNTROBOS
ENSMUSG00000116241,GM49458
ENSMUSG00000097116,GM26729
ENSMUSG00000079355,ACKR4
ENSMUSG00000100599,1700120C14RIK
ENSMUSG00000085450,GM13686
ENSMUSG00000022548,APOD
ENSMUSG00000027332,IVD
ENSMUSG00000054160,NKX2-4
ENSMUSG00000048796,CYB561D1
ENSMUSG00000112584,GM2398
ENSMUSG00000100042,GM29658
ENSMUSG00000030166,RAD52
ENSMUSG00000082158,GM14116
ENSMUSG00000112004,GM8785
ENSMUSG00000112524,GM35274
ENSMUSG00000032558,NPHP3
ENSMUSG00000030720,CLN3
ENSMUSG00000100636,GM3551
ENSMUSG00000116607,4930534H18RIK
ENSMUSG00000044217,AQP5
ENSMUSG00000112661,GM6869
ENSMUSG00000101224,GM28209
ENSMUSG00000020262,ADARB1
ENSMUSG00000031376,ATP2B3
ENSMUSG00000095022,GM20765
ENSMUSG00000111885,GM35326
ENSMUSG00000001583,TNK1
ENSMUSG00000072966,GPRASP2
ENSMUSG00000027434,NKX2-2
ENSMUSG00000110492,GM5358
ENSMUSG00000106495,GM42755
ENSMUSG00000092253,H2-Q3
ENSMUSG00000076617,IGHM
ENSMUSG00000112812,GM47415
ENSMUSG00000103650,GM37207
ENSMUSG00000075163,OLFR1107
ENSMUSG00000112086,GM35412
ENSMUSG00000041750,CD1D2
ENSMUSG00000035929,H2-Q4
ENSMUSG00000036975,TMEM177
ENSMUSG00000029546,UNCX
ENSMUSG00000084087,GM13650
ENSMUSG00000023341,MX2
ENSMUSG00000081971,GM14115
ENSMUSG00000034617,MTRR
ENSMUSG00000045915,CCDC42
ENSMUSG00000027329,SPEF1
ENSMUSG00000084371,GM14113
ENSMUSG00000086596,SUSD5
ENSMUSG00000084774,GM14110
ENSMUSG00000091455,OTOGL
ENSMUSG00000115249,GM49085
ENSMUSG00000053545,6430503K07RIK
ENSMUSG00000110886,OLFR1108-PS1
ENSMUSG00000026837,COL5A1
ENSMUSG00000108172,GM21054
ENSMUSG00000035011,ZBTB7A
ENSMUSG00000110875,GM47100
ENSMUSG00000111844,GM47097
ENSMUSG00000075161,OLFR1109
ENSMUSG00000094970,OLFR943
ENSMUSG00000084995,LYZL4OS
ENSMUSG00000004044,CAVIN1
ENSMUSG00000025076,CASP7
ENSMUSG00000114102,GM48048
ENSMUSG00000070374,OLFR59
ENSMUSG00000033063,CNTNAP3
ENSMUSG00000043286,PNPLA1
ENSMUSG00000104637,GM42424
ENSMUSG00000079505,GM11131
ENSMUSG00000028357,KIF12
ENSMUSG00000116973,AV205837
ENSMUSG00000090854,GM4340
ENSMUSG00000049760,MICOS13
ENSMUSG00000023032,SLC4A8
ENSMUSG00000000214,TH
ENSMUSG00000082378,OLFR408-PS1
ENSMUSG00000112044,GM48184
ENSMUSG00000032530,LYZL4
ENSMUSG00000103775,GM36997
ENSMUSG00000047171,HELT
ENSMUSG00000083886,OLFR409-PS1
ENSMUSG00000028753,VWA5B1
ENSMUSG00000083299,GM12332
ENSMUSG00000055413,H2-Q5
ENSMUSG00000063116,OLFR410
ENSMUSG00000072082,CCNF
ENSMUSG00000087615,PNPLA1OS
ENSMUSG00000038762,ABCF1
ENSMUSG00000107074,GM18100
ENSMUSG00000114179,EIF1-PS2
ENSMUSG00000054406,OLFR411
ENSMUSG00000037034,PAX1
ENSMUSG00000118582,AC157997.1
ENSMUSG00000092072,GM4540
ENSMUSG00000105277,GM9504
ENSMUSG00000092560,GM8750
ENSMUSG00000053318,SLAMF8
ENSMUSG00000056223,SPATA31
ENSMUSG00000112943,GM18983
ENSMUSG00000020783,NCBP3
ENSMUSG00000031881,CDH16
ENSMUSG00000104795,GM42783
ENSMUSG00000073409,H2-Q6
ENSMUSG00000113372,GM18624
ENSMUSG00000028099,POLR3C
ENSMUSG00000058275,OLFR412
ENSMUSG00000083204,GM13788
ENSMUSG00000049265,KCNK3
ENSMUSG00000087069,GM13793
ENSMUSG00000113805,GM5788
ENSMUSG00000105051,GM4248
ENSMUSG00000084906,GM13794
ENSMUSG00000113323,GM18625
ENSMUSG00000113263,GM4811
ENSMUSG00000087521,AI646519
ENSMUSG00000028773,FABP3
ENSMUSG00000053214,GM9899
ENSMUSG00000113614,GM49362
ENSMUSG00000028709,MOB3C
ENSMUSG00000079034,GM8300
ENSMUSG00000003033,AP1M1
ENSMUSG00000070504,FCRL6
ENSMUSG00000092245,GM17973
ENSMUSG00000057863,RPL36
ENSMUSG00000114187,GM18626
ENSMUSG00000021361,TMEM14C
ENSMUSG00000036962,CFAP221
ENSMUSG00000087405,GM14232
ENSMUSG00000113474,GM48110
ENSMUSG00000027327,1700037H04RIK
ENSMUSG00000028772,ZCCHC17
ENSMUSG00000083126,GM14109
ENSMUSG00000080844,GM14107
ENSMUSG00000081741,GM14106
ENSMUSG00000115997,GM49404
ENSMUSG00000051986,A530006G24RIK
ENSMUSG00000113807,GM6888
ENSMUSG00000112900,GM48204
ENSMUSG00000036019,TMTC2
ENSMUSG00000026544,DUSP23
ENSMUSG00000082646,GM12732
ENSMUSG00000074849,SPATA31D1C
ENSMUSG00000020198,AP3D1
ENSMUSG00000081543,GM12733
ENSMUSG00000109743,GM45255
ENSMUSG00000110179,GM39168
ENSMUSG00000041168,LONP1
ENSMUSG00000056162,CNDP1
ENSMUSG00000081187,3110067C02RIK
ENSMUSG00000073842,MUP7
ENSMUSG00000103062,GM37200
ENSMUSG00000105865,GM34144
ENSMUSG00000093930,HMGCS1
ENSMUSG00000036661,DENND3
ENSMUSG00000075598,SMOK3C
ENSMUSG00000079434,NEU2
ENSMUSG00000023991,FOXP4
ENSMUSG00000073752,GM10570
ENSMUSG00000116965,GM36742
ENSMUSG00000108028,GM8143
ENSMUSG00000069378,PRDM6
ENSMUSG00000026667,UHMK1
ENSMUSG00000081757,GM13798
ENSMUSG00000110035,GM30931
ENSMUSG00000108878,GM49493
ENSMUSG00000038503,MESD
ENSMUSG00000030271,OGG1
ENSMUSG00000111734,GM29825
ENSMUSG00000028076,CD1D1
ENSMUSG00000096555,OLFR944
ENSMUSG00000116573,GM36903
ENSMUSG00000083846,GM13797
ENSMUSG00000102642,A130048G24RIK
ENSMUSG00000102503,GM37370
ENSMUSG00000098070,GM8609
ENSMUSG00000112176,GM48205
ENSMUSG00000103632,GM38329
ENSMUSG00000087537,GM13799
ENSMUSG00000052331,ANKRD44
ENSMUSG00000099773,HMGB1-RS16
ENSMUSG00000085282,GM15663
ENSMUSG00000104302,GM36975
ENSMUSG00000035093,SECISBP2L
ENSMUSG00000101945,GM29138
ENSMUSG00000107935,GM4872
ENSMUSG00000104258,GM37175
ENSMUSG00000101085,GM8531
ENSMUSG00000112512,GM48203
ENSMUSG00000104053,GM38126
ENSMUSG00000117676,GM50314
ENSMUSG00000082327,GM13801
ENSMUSG00000103200,GM37328
ENSMUSG00000112571,GM48207
ENSMUSG00000112193,GM48206
ENSMUSG00000109612,GM45253
ENSMUSG00000103432,6720464F23RIK
ENSMUSG00000048087,GM4737
ENSMUSG00000084399,GM15666
ENSMUSG00000109912,GM45245
ENSMUSG00000089885,GM16296
ENSMUSG00000103391,GM38302
ENSMUSG00000022900,ILDR1
ENSMUSG00000040390,MAP3K10
ENSMUSG00000086141,9030622O22RIK
ENSMUSG00000118401,GPR52
ENSMUSG00000073514,DOK6
ENSMUSG00000083239,MUP-PS1
ENSMUSG00000089904,GM15664
ENSMUSG00000104020,GM37215
ENSMUSG00000105146,GM35409
ENSMUSG00000113351,GM48575
ENSMUSG00000096109,OLFR1537
ENSMUSG00000026721,RABGAP1L
ENSMUSG00000019815,ZC2HC1B
ENSMUSG00000026259,NGEF
ENSMUSG00000060550,H2-Q7
ENSMUSG00000025204,NDUFB8
ENSMUSG00000091288,GM17075
ENSMUSG00000114934,GM48342
ENSMUSG00000030272,CAMK1
ENSMUSG00000050587,LRRC4C
ENSMUSG00000078688,MUP2
ENSMUSG00000068267,CENPB
ENSMUSG00000029055,PLCH2
ENSMUSG00000118072,GM50101
ENSMUSG00000099906,GM28653
ENSMUSG00000104265,GM8869
ENSMUSG00000111939,GM48177
ENSMUSG00000103913,GM18403
ENSMUSG00000090047,GM16297
ENSMUSG00000112392,GM35240
ENSMUSG00000102394,GM37575
ENSMUSG00000118274,GM50204
ENSMUSG00000111896,GM48196
ENSMUSG00000115508,GM49786
ENSMUSG00000115841,GM49105
ENSMUSG00000063428,DDO
ENSMUSG00000007944,TTC9B
ENSMUSG00000112971,GM33682
ENSMUSG00000114045,GM34220
ENSMUSG00000085766,2810430I11RIK
ENSMUSG00000092009,MYH15
ENSMUSG00000067144,SLC22A7
ENSMUSG00000086560,GM13372
ENSMUSG00000028098,RNF115
ENSMUSG00000072969,ARMCX5
ENSMUSG00000010609,PSEN2
ENSMUSG00000066475,GM10268
ENSMUSG00000089834,GM16303
ENSMUSG00000047638,NR1H4
ENSMUSG00000044306,4930500M09RIK
ENSMUSG00000038115,ANO2
ENSMUSG00000118310,GM50268
ENSMUSG00000036636,CLCN7
ENSMUSG00000024442,DELE1
ENSMUSG00000091061,4930445B16RIK
ENSMUSG00000072964,BHLHB9
ENSMUSG00000090449,GM17076
ENSMUSG00000097743,GM16973
ENSMUSG00000107123,VMN2R-PS25
ENSMUSG00000021356,IRF4
ENSMUSG00000079184,MPHOSPH8
ENSMUSG00000063380,OLFR945
ENSMUSG00000113803,GM18615
ENSMUSG00000057522,SPOP
ENSMUSG00000106703,VMN2R-PS26
ENSMUSG00000102893,GM37855
ENSMUSG00000111762,OLFR946-PS1
ENSMUSG00000096576,OOG1
ENSMUSG00000041734,KIRREL
ENSMUSG00000098126,GM27037
ENSMUSG00000026387,SCTR
ENSMUSG00000029175,SLC35F6
ENSMUSG00000105976,GM42782
ENSMUSG00000090658,PRSS47
ENSMUSG00000028873,CDCA8
ENSMUSG00000001942,SIAE
ENSMUSG00000016386,MPPED2
ENSMUSG00000091471,GM20538
ENSMUSG00000051984,SEC31B
ENSMUSG00000036986,PML
ENSMUSG00000021832,PSMC6
ENSMUSG00000092278,GM8752
ENSMUSG00000025929,IL17A
ENSMUSG00000067235,H2-Q10
ENSMUSG00000113127,GM48154
ENSMUSG00000029715,POP7
ENSMUSG00000020541,TOM1L1
ENSMUSG00000095724,GM21319
ENSMUSG00000091742,GM5093
ENSMUSG00000113912,GM21937
ENSMUSG00000112949,GM21939
ENSMUSG00000113201,GM21936
ENSMUSG00000044814,OLFR543
ENSMUSG00000114059,GM48153
ENSMUSG00000113025,GM49363
ENSMUSG00000113685,GM21038
ENSMUSG00000091794,VMN2R18
ENSMUSG00000006411,NECTIN4
ENSMUSG00000113815,GM48149
ENSMUSG00000092019,GM4027
ENSMUSG00000043384,GPRASP1
ENSMUSG00000098156,GM27023
ENSMUSG00000072692,RPL37RT
ENSMUSG00000113971,GM2022
ENSMUSG00000097080,1700086O06RIK
ENSMUSG00000034157,CIPC
ENSMUSG00000022875,KNG1
ENSMUSG00000113991,GM48151
ENSMUSG00000114101,GM48152
ENSMUSG00000113129,GM21569
ENSMUSG00000073530,PAPPA2
ENSMUSG00000043925,OLFR544
ENSMUSG00000113280,GM21559
ENSMUSG00000073840,MUP-PS2
ENSMUSG00000113286,GM18627
ENSMUSG00000104415,GM37069
ENSMUSG00000072905,GM2016
ENSMUSG00000102234,GM37885
ENSMUSG00000111190,OLFR947-PS1
ENSMUSG00000026509,CAPN2
ENSMUSG00000113011,GM1995
ENSMUSG00000111839,GM39383
ENSMUSG00000118500,AC211878.1
ENSMUSG00000113489,GM16381
ENSMUSG00000050241,KLRE1
ENSMUSG00000041872,IL17F
ENSMUSG00000079031,BB287469
ENSMUSG00000101674,4930444A19RIK
ENSMUSG00000090994,GM6153
ENSMUSG00000113206,GM3742
ENSMUSG00000091123,GM17181
ENSMUSG00000114074,GM48150
ENSMUSG00000043020,WDR63
ENSMUSG00000113951,GM2001
ENSMUSG00000105678,GM43705
ENSMUSG00000044730,9930104L06RIK
ENSMUSG00000105685,GM43315
ENSMUSG00000037469,ACP7
ENSMUSG00000039771,POLR2J
ENSMUSG00000085998,AW822252
ENSMUSG00000036596,CPZ
ENSMUSG00000039375,WDR17
ENSMUSG00000097760,6030442K20RIK
ENSMUSG00000023175,BSG
ENSMUSG00000095930,NIM1K
ENSMUSG00000024997,PRDX3
ENSMUSG00000082527,GM8200
ENSMUSG00000042046,DSTYK
ENSMUSG00000038807,RAP1GAP2
ENSMUSG00000066042,MED18
ENSMUSG00000038126,MPHOSPH9
ENSMUSG00000099188,GM27248
ENSMUSG00000044824,OLFR545
ENSMUSG00000055555,4930502E18RIK
ENSMUSG00000074259,GRAMD2
ENSMUSG00000083208,GM11522
ENSMUSG00000105349,GM43604
ENSMUSG00000029703,LRWD1
ENSMUSG00000085333,1700030A11RIK
ENSMUSG00000096964,GM6345
ENSMUSG00000026368,F13B
ENSMUSG00000106326,GM42977
ENSMUSG00000048905,4930539E08RIK
ENSMUSG00000102418,SH2D1B1
ENSMUSG00000055652,KLHL25
ENSMUSG00000030499,KCTD15
ENSMUSG00000104739,GM3283
ENSMUSG00000047661,1600012P17RIK
ENSMUSG00000104560,GM8115
ENSMUSG00000054727,1700013H16RIK
ENSMUSG00000043621,UBXN10
ENSMUSG00000042759,APOBR
ENSMUSG00000069805,FBP1
ENSMUSG00000093884,OLFR239
ENSMUSG00000113046,GM48579
ENSMUSG00000073494,SH2D1B2
ENSMUSG00000113879,GM48580
ENSMUSG00000109561,ANKRD31
ENSMUSG00000113515,GM29675
ENSMUSG00000028750,PLA2G2C
ENSMUSG00000029272,SULT1E1
ENSMUSG00000082616,GM6025
ENSMUSG00000033837,FOXH1
ENSMUSG00000083483,GM14044
ENSMUSG00000022993,4930415O20RIK
ENSMUSG00000001281,ITGB7
ENSMUSG00000022636,ALCAM
ENSMUSG00000112272,GM48087
ENSMUSG00000059334,ZFP36L3
ENSMUSG00000087702,GM13575
ENSMUSG00000027641,RBL1
ENSMUSG00000046719,NXPH3
ENSMUSG00000082127,GM13577
ENSMUSG00000081065,GM13576
ENSMUSG00000105291,GM18901
ENSMUSG00000040007,BAHD1
ENSMUSG00000084308,GM14593
ENSMUSG00000105693,GM43706
ENSMUSG00000084104,GM13578
ENSMUSG00000104892,GM6615
ENSMUSG00000084047,GM14984
ENSMUSG00000117160,GM49859
ENSMUSG00000117066,GM49860
ENSMUSG00000067006,SERPINB5
ENSMUSG00000114154,GM48597
ENSMUSG00000033579,FA2H
ENSMUSG00000108905,GM44618
ENSMUSG00000091387,GCNT4
ENSMUSG00000034480,DIAPH2
ENSMUSG00000108865,GM44617
ENSMUSG00000111909,GM18670
ENSMUSG00000112601,GM47590
ENSMUSG00000027459,FAM110A
ENSMUSG00000104331,GM38284
ENSMUSG00000057349,OLFR948
ENSMUSG00000098915,RPL15-PS2
ENSMUSG00000113934,GM48609
ENSMUSG00000099313,GM27152
ENSMUSG00000109822,GM8556
ENSMUSG00000101973,GM29516
ENSMUSG00000102143,GM38057
ENSMUSG00000099629,GM29515
ENSMUSG00000111774,GM38398
ENSMUSG00000011114,TBRG1
ENSMUSG00000116664,GM18549
ENSMUSG00000078687,MUP8
ENSMUSG00000019814,LTV1
ENSMUSG00000101208,GM19891
ENSMUSG00000116966,GM18550
ENSMUSG00000003228,GRK5
ENSMUSG00000032228,TCF12
ENSMUSG00000073976,1700026J12RIK
ENSMUSG00000116901,GM49667
ENSMUSG00000102752,GM7694
ENSMUSG00000101735,GM18505
ENSMUSG00000102923,GM31728
ENSMUSG00000092383,H2-PB
ENSMUSG00000099842,GM4034
ENSMUSG00000024290,ROCK1
ENSMUSG00000111622,GM21041
ENSMUSG00000101074,GM29022
ENSMUSG00000110780,OLFR949-PS1
ENSMUSG00000057037,CFHR1
ENSMUSG00000118035,GM6173
ENSMUSG00000037025,FOXA2
ENSMUSG00000042800,SPATA46
ENSMUSG00000114369,GM41077
ENSMUSG00000085923,GM12781
ENSMUSG00000027296,ITPKA
ENSMUSG00000094870,ZFP131
ENSMUSG00000105802,GM43012
ENSMUSG00000106928,GM43860
ENSMUSG00000116404,GM49541
ENSMUSG00000032523,HHATL
ENSMUSG00000110443,GM39197
ENSMUSG00000038473,NOS1AP
ENSMUSG00000015599,TTBK1
ENSMUSG00000020544,COX11
ENSMUSG00000070713,GM10282
ENSMUSG00000041429,NTHL1
ENSMUSG00000048915,EFNA5
ENSMUSG00000106217,GM43368
ENSMUSG00000074916,CHST14
ENSMUSG00000105246,GM21043
ENSMUSG00000024406,POU5F1
ENSMUSG00000108495,GM45139
ENSMUSG00000036853,MCOLN3
ENSMUSG00000108467,GM45211
ENSMUSG00000101564,GM5703
ENSMUSG00000064299,4921528I07RIK
ENSMUSG00000083750,GM14108
ENSMUSG00000082588,GM15443
ENSMUSG00000033767,TMEM131L
ENSMUSG00000090623,CFHR3
ENSMUSG00000100917,GM18751
ENSMUSG00000032394,IGDCC3
ENSMUSG00000027933,INTS3
ENSMUSG00000037014,SSTR4
ENSMUSG00000074733,ZFP950
ENSMUSG00000102074,GM29020
ENSMUSG00000116769,8030451O07RIK
ENSMUSG00000103878,GM8197
ENSMUSG00000103693,GM37529
ENSMUSG00000098197,BC051537
ENSMUSG00000081306,GM15266
ENSMUSG00000042050,WDR60
ENSMUSG00000102172,GM37873
ENSMUSG00000101234,1700007E05RIK
ENSMUSG00000001948,SPA17
ENSMUSG00000024334,H2-OA
ENSMUSG00000101457,GM18701
ENSMUSG00000103522,9430087J23RIK
ENSMUSG00000069814,CCDC92B
ENSMUSG00000075160,OLFR259
ENSMUSG00000104026,GM37212
ENSMUSG00000027463,SLC52A3
ENSMUSG00000102314,GM37630
ENSMUSG00000102309,GM38189
ENSMUSG00000063935,ZAR1
ENSMUSG00000116690,GM49736
ENSMUSG00000045378,PXT1
ENSMUSG00000096578,GM9529
ENSMUSG00000021566,SLC6A19OS
ENSMUSG00000098224,GM7985
ENSMUSG00000035413,TMEM98
ENSMUSG00000081610,GM13733
ENSMUSG00000076618,IGHJ4
ENSMUSG00000034574,DAAM1
ENSMUSG00000100783,2310047D07RIK
ENSMUSG00000114244,GM47119
ENSMUSG00000075159,OLFR1110
ENSMUSG00000052075,1700029F12RIK
ENSMUSG00000021565,SLC6A19
ENSMUSG00000100465,GM29264
ENSMUSG00000098950,GM28036
ENSMUSG00000086499,GM16217
ENSMUSG00000087693,GM16191
ENSMUSG00000062275,FBXW24
ENSMUSG00000040249,LRP1
ENSMUSG00000105382,GM43339
ENSMUSG00000107317,GM19719
ENSMUSG00000105228,GM43340
ENSMUSG00000049107,NTF3
ENSMUSG00000053820,BCL2A1C
ENSMUSG00000047635,2810006K23RIK
ENSMUSG00000112003,GM4864
ENSMUSG00000060063,ALOX5AP
ENSMUSG00000098241,H2-PA
ENSMUSG00000111903,4930458K08RIK
ENSMUSG00000083613,POU2F3-RS1
ENSMUSG00000044788,FADS6
ENSMUSG00000040658,DNPH1
ENSMUSG00000084802,GM14089
ENSMUSG00000097963,GM27001
ENSMUSG00000093516,GM19553
ENSMUSG00000112551,GM8219
ENSMUSG00000081413,UQCRH-PS2
ENSMUSG00000074039,4930520O04RIK
ENSMUSG00000105940,GM42635
ENSMUSG00000116853,GM49609
ENSMUSG00000104871,GM42639
ENSMUSG00000090882,GM17065
ENSMUSG00000105877,GM42479
ENSMUSG00000106102,GM43493
ENSMUSG00000024943,SMC5
ENSMUSG00000105637,GM42480
ENSMUSG00000029729,ZKSCAN1
ENSMUSG00000097216,4932441J04RIK
ENSMUSG00000032431,CRTAP
ENSMUSG00000113452,GM18616
ENSMUSG00000074088,SNRNP40
ENSMUSG00000109906,OLFR546-PS1
ENSMUSG00000019935,SLC17A8
ENSMUSG00000104137,GM36954
ENSMUSG00000096619,GM2035
ENSMUSG00000084938,BB557941
ENSMUSG00000103724,GM37096
ENSMUSG00000073979,OLFR547
ENSMUSG00000048865,ARHGAP30
ENSMUSG00000113748,GM18628
ENSMUSG00000105431,GM42640
ENSMUSG00000027236,EIF3J1
ENSMUSG00000101011,GM29398
ENSMUSG00000113527,GM48079
ENSMUSG00000086396,4930555B11RIK
ENSMUSG00000029108,PCDH7
ENSMUSG00000115380,GM46453
ENSMUSG00000081629,EIF3S6-PS1
ENSMUSG00000115194,GM48909
ENSMUSG00000115579,GM49156
ENSMUSG00000104036,GM37775
ENSMUSG00000009248,ASCL2
ENSMUSG00000085271,E130006D01RIK
ENSMUSG00000081663,GM11207
ENSMUSG00000021848,OTX2
ENSMUSG00000086703,4930507D10RIK
ENSMUSG00000050201,OTOP2
ENSMUSG00000029545,ACADS
ENSMUSG00000022759,LRRC74B
ENSMUSG00000103285,GM37274
ENSMUSG00000027618,NFS1
ENSMUSG00000053184,SPACA3
ENSMUSG00000104429,2610034O05RIK
ENSMUSG00000107623,GM10415
ENSMUSG00000045518,ONECUT3
ENSMUSG00000096169,OLFR1564
ENSMUSG00000075158,OLFR1111
ENSMUSG00000038500,PRR3
ENSMUSG00000112042,GM47402
ENSMUSG00000101659,GM29009
ENSMUSG00000027408,CPXM1
ENSMUSG00000108163,GM44431
ENSMUSG00000085919,GM16019
ENSMUSG00000091697,EIF3S6-PS2
ENSMUSG00000104821,GM42481
ENSMUSG00000103959,GM37720
ENSMUSG00000048707,TPRN
ENSMUSG00000091459,GM17054
ENSMUSG00000079669,GM17396
ENSMUSG00000117116,GM49868
ENSMUSG00000051116,GM8121
ENSMUSG00000058176,GM5407
ENSMUSG00000094441,ZFP955A
ENSMUSG00000086788,1700029M20RIK
ENSMUSG00000092184,GM18489
ENSMUSG00000035818,PLEKHS1
ENSMUSG00000117726,GM7674
ENSMUSG00000104564,GM17977
ENSMUSG00000084113,GM14277
ENSMUSG00000092504,GM20396
ENSMUSG00000022462,SLC38A2
ENSMUSG00000033396,SPG11
ENSMUSG00000118372,GM50434
ENSMUSG00000104924,GM43002
ENSMUSG00000117496,GM50042
ENSMUSG00000021264,YY1
ENSMUSG00000106646,GM42483
ENSMUSG00000117805,GM18280
ENSMUSG00000117760,GM41561
ENSMUSG00000117558,GM50043
ENSMUSG00000102771,GM33320
ENSMUSG00000104709,GM42484
ENSMUSG00000059588,CALCRL
ENSMUSG00000117725,GM50240
ENSMUSG00000085946,AA387200
ENSMUSG00000106517,GM42634
ENSMUSG00000116700,GM18694
ENSMUSG00000047976,KCNA1
ENSMUSG00000105049,GM42486
ENSMUSG00000045288,USH1G
ENSMUSG00000105050,GM42482
ENSMUSG00000039607,RBMS3
ENSMUSG00000085530,GM13901
ENSMUSG00000060257,SCRT2
ENSMUSG00000105079,GM43715
ENSMUSG00000118169,GM50249
ENSMUSG00000106337,GM42478
ENSMUSG00000109560,GM8463
ENSMUSG00000046434,HNRNPA1
ENSMUSG00000058435,BTNL4
ENSMUSG00000044881,COA4
ENSMUSG00000054134,UMODL1
ENSMUSG00000035878,HYKK
ENSMUSG00000110390,GM45869
ENSMUSG00000117413,GM50044
ENSMUSG00000020248,NFYB
ENSMUSG00000045534,KCNA5
ENSMUSG00000076619,IGHJ3
ENSMUSG00000073978,OLFR548-PS1
ENSMUSG00000054640,SLC8A1
ENSMUSG00000082312,GM11996
ENSMUSG00000078652,PSME3
ENSMUSG00000017737,MMP9
ENSMUSG00000097772,5430416N02RIK
ENSMUSG00000073977,OLFR549
ENSMUSG00000099094,GM19569
ENSMUSG00000105376,GM36535
ENSMUSG00000084045,GM11997
ENSMUSG00000118362,GM19466
ENSMUSG00000106391,GM42690
ENSMUSG00000109123,GM39059
ENSMUSG00000106060,GM42488
ENSMUSG00000116956,GM49610
ENSMUSG00000048799,CEP120
ENSMUSG00000000120,NGFR
ENSMUSG00000078532,NKAIN1
ENSMUSG00000098895,GM21013
ENSMUSG00000117080,1700063J08RIK
ENSMUSG00000022096,HR
ENSMUSG00000027297,LTK
ENSMUSG00000113057,GM48812
ENSMUSG00000020393,KREMEN1
ENSMUSG00000094445,1700015G11RIK
ENSMUSG00000017561,CRLF3
ENSMUSG00000005936,KCTD20
ENSMUSG00000024429,GNL1
ENSMUSG00000108526,GM45828
ENSMUSG00000052281,TSPAN32OS
ENSMUSG00000030096,SLC6A6
ENSMUSG00000031352,HCCS
ENSMUSG00000027130,SLC12A6
ENSMUSG00000117560,GM31759
ENSMUSG00000000244,TSPAN32
ENSMUSG00000052353,CEMIP
ENSMUSG00000085033,GM11646
ENSMUSG00000082985,GM14042
ENSMUSG00000049354,DCAF7
ENSMUSG00000002500,RPL3L
ENSMUSG00000092353,GM20539
ENSMUSG00000116948,GM4802
ENSMUSG00000084164,GM13902
ENSMUSG00000037708,SPAG6
ENSMUSG00000097959,GM6931
ENSMUSG00000100963,GM28372
ENSMUSG00000049692,TMEM239
ENSMUSG00000104538,1700016B01RIK
ENSMUSG00000027409,1700020A23RIK
ENSMUSG00000085887,ARHGAP27OS3
ENSMUSG00000082180,GM12230
ENSMUSG00000062157,IFNLR1
